comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
4.01;356;1;0;1;32;522;1;0;5;10000;10000;0;0;500;0;0;0;1;.041786;NA;.042426;.060891;.060878;.100000;9;77
3.83;356;1;0;1;32;522;1;0;5;10000;10000;0;0;500;0;0;0;1;.040323;NA;.044083;.057253;.057232;.100000;7;82
4.36;356;1;0;1;32;522;1;0;5;10000;10000;0;0;500;0;0;0;1;.040683;NA;.037720;.076173;.076163;.110000;9;58
4.25;355;1;0;1;32;522;1;0;5;10000;10000;0;0;500;0;0;0;1;.041988;NA;.040441;.066740;.066732;.110000;9;72
3.85;356;1;0;1;32;522;1;0;5;10000;10000;0;0;500;0;0;0;1;.045285;NA;.037817;.080068;.080061;.120000;7;58
3.87;356;1;0;1;32;522;1;0;5;10000;10000;0;0;500;0;0;0;1;.040490;NA;.043795;.058854;.058842;.100000;9;80
3.93;357;1;0;1;32;522;1;0;5;10000;10000;0;0;500;0;0;0;1;.041565;NA;.041805;.060491;.060479;.100000;9;78
4.15;357;1;0;1;32;522;1;0;5;10000;10000;0;0;500;0;0;0;1;.041049;NA;.042822;.094490;.094482;.130000;8;59
4.00;356;1;0;1;32;522;1;0;5;10000;10000;25;0;500;0;0;0;1;.119493;NA;.045088;8.668787;8.668779;8.790000;8;0
3.91;356;1;0;1;32;522;1;0;5;10000;10000;25;0;500;0;0;0;1;.107067;NA;.043779;8.666350;8.666344;8.770000;7;0
4.14;357;1;0;1;32;522;1;0;5;10000;10000;25;0;500;0;0;0;1;.113209;NA;.046475;8.620815;8.620803;8.730000;7;0
4.32;355;1;0;1;32;522;1;0;5;10000;10000;25;0;500;0;0;0;1;.121660;NA;.043790;8.618420;8.618410;8.740000;7;0
4.25;357;1;0;1;32;522;1;0;5;10000;10000;25;0;500;0;0;0;1;.114663;NA;.046093;8.619292;8.619288;8.730000;7;0
4.01;357;1;0;1;32;522;1;0;5;10000;10000;25;0;500;0;0;0;1;.107186;NA;.047857;8.618041;8.618030;8.720000;9;1
3.91;357;1;0;1;32;522;1;0;5;10000;10000;25;0;500;0;0;0;1;.125033;NA;.046288;8.666474;8.666470;8.790000;9;0
4.01;357;1;0;1;32;522;1;0;5;10000;10000;25;0;500;0;0;0;1;.110974;NA;.043458;8.619164;8.619152;8.730000;7;0
3.87;357;1;0;1;32;522;1;0;5;10000;10000;25;0;500;0;0;0;1;.111461;NA;.043902;8.669820;8.669808;8.780000;9;0
4.04;357;1;0;1;32;522;1;0;5;10000;10000;25;0;500;0;0;0;1;.115537;NA;.043422;8.617747;8.617727;8.730000;7;0
3.96;356;1;0;1;32;522;1;0;5;10000;10000;50;0;500;0;0;0;1;.190278;NA;.042570;17.219487;17.219482;17.410000;7;0
4.03;355;1;0;1;32;522;1;0;5;10000;10000;50;0;500;0;0;0;1;.178493;NA;.043722;17.119301;17.119279;17.300000;9;0
4.15;356;1;0;1;32;522;1;0;5;10000;10000;50;0;500;0;0;0;1;.186756;NA;.046039;17.223033;17.223014;17.410000;9;0
4.07;356;1;0;1;32;522;1;0;5;10000;10000;50;0;500;0;0;0;1;.192784;NA;.043965;17.115145;17.115135;17.310000;9;0
4.15;356;1;0;1;32;522;1;0;5;10000;10000;50;0;500;0;0;0;1;.180405;NA;.044707;17.118570;17.118557;17.300000;7;0
4.00;355;1;0;1;32;522;1;0;5;10000;10000;50;0;500;0;0;0;1;.188983;NA;.045479;17.012507;17.012502;17.200000;9;0
3.92;357;1;0;1;32;522;1;0;5;10000;10000;50;0;500;0;0;0;1;.187020;NA;.046365;17.122530;17.122526;17.310000;7;0
4.05;357;1;0;1;32;522;1;0;5;10000;10000;50;0;500;0;0;0;1;.187384;NA;.042910;17.118646;17.118634;17.310000;9;0
4.11;356;1;0;1;32;522;1;0;5;10000;10000;50;0;500;0;0;0;1;.191895;NA;.049505;17.223072;17.223050;17.410000;7;0
3.84;356;1;0;1;32;522;1;0;5;10000;10000;50;0;500;0;0;0;1;.190564;NA;.044819;17.119034;17.119022;17.310000;7;0
3.81;356;1;0;1;32;522;1;0;5;10000;10000;75;0;500;0;0;0;1;.268600;NA;.045603;25.620882;25.620877;25.890000;9;0
3.80;357;1;0;1;32;522;1;0;5;10000;10000;75;0;500;0;0;0;1;.262876;NA;.045467;25.622480;25.622474;25.880000;7;0
3.86;357;1;0;1;32;522;1;0;5;10000;10000;75;0;500;0;0;0;1;.259418;NA;.046212;25.467675;25.467662;25.730000;9;0
3.89;357;1;0;1;32;522;1;0;5;10000;10000;75;0;500;0;0;0;1;.270260;NA;.045772;25.771268;25.771259;26.040000;7;0
4.08;356;1;0;1;32;522;1;0;5;10000;10000;75;0;500;0;0;0;1;.260282;NA;.039247;25.614073;25.614053;25.870000;9;0
3.92;355;1;0;1;32;522;1;0;5;10000;10000;75;0;500;0;0;0;1;.264357;NA;.048246;25.463823;25.463800;25.730000;7;0
3.83;356;1;0;1;32;522;1;0;5;10000;10000;75;0;500;0;0;0;1;.266900;NA;.040464;25.617330;25.617310;25.880000;9;0
4.11;355;1;0;1;32;522;1;0;5;10000;10000;75;0;500;0;0;0;1;.262105;NA;.040537;25.767237;25.767230;26.030000;9;0
4.05;356;1;0;1;32;522;1;0;5;10000;10000;75;0;500;0;0;0;1;.263827;NA;.045691;25.622178;25.622157;25.890000;9;0
4.07;356;1;0;1;32;522;1;0;5;10000;10000;75;0;500;0;0;0;1;.263364;NA;.044217;25.769458;25.769446;26.030000;9;0
4.17;367;1;0;1;32;523;1;0;5;10000;10000;0;0;500;0;0;0;1;.042505;NA;.044101;.045220;.045209;.090000;7;92
4.03;365;1;0;1;32;523;1;0;5;10000;10000;0;0;500;0;0;0;1;.041114;NA;.041509;.049173;.049164;.090000;7;86
4.21;365;1;0;1;32;523;1;0;5;10000;10000;0;0;500;0;0;0;1;.040809;NA;.037829;.067201;.067196;.110000;7;64
4.32;366;1;0;1;32;523;1;0;5;10000;10000;0;0;500;0;0;0;1;.043062;NA;.041831;.068295;.068286;.110000;9;72
4.23;366;1;0;1;32;523;1;0;5;10000;10000;0;0;500;0;0;0;1;.039734;NA;.041430;.053217;.053211;.090000;7;85
4.55;360;1;0;1;32;523;1;0;5;10000;10000;0;0;500;0;0;0;1;.042621;NA;.042602;.053944;.053933;.100000;7;84
4.21;367;1;0;1;32;523;1;0;5;10000;10000;0;0;500;0;0;0;1;.041238;NA;.043125;.056138;.056127;.100000;7;82
4.18;366;1;0;1;32;523;1;0;5;10000;10000;0;0;500;0;0;0;1;.041896;NA;.042403;.055418;.055405;.100000;9;82
4.12;366;1;0;1;32;523;1;0;5;10000;10000;0;0;500;0;0;0;1;.042879;NA;.041223;.074939;.074927;.120000;7;68
4.10;367;1;0;1;32;523;1;0;5;10000;10000;0;0;500;0;0;0;1;.038679;NA;.040270;.066254;.066244;.100000;9;72
4.34;363;1;0;1;32;523;1;0;5;10000;10000;25;0;500;0;0;0;1;.123560;NA;.042337;5.537694;5.537686;5.660000;7;1
4.05;365;1;0;1;32;523;1;0;5;10000;10000;25;0;500;0;0;0;1;.107487;NA;.044805;5.690379;5.690370;5.800000;7;1
4.06;366;1;0;1;32;523;1;0;5;10000;10000;25;0;500;0;0;0;1;.124268;NA;.046442;5.593443;5.593433;5.720000;9;1
4.19;366;1;0;1;32;523;1;0;5;10000;10000;25;0;500;0;0;0;1;.115648;NA;.044165;5.638306;5.638285;5.750000;7;1
4.32;357;1;0;1;32;523;1;0;5;10000;10000;25;0;500;0;0;0;1;.123231;NA;.048654;5.591914;5.591897;5.710000;7;1
4.12;367;1;0;1;32;523;1;0;5;10000;10000;25;0;500;0;0;0;1;.123526;NA;.043782;5.536879;5.536869;5.660000;7;1
4.16;357;1;0;1;32;523;1;0;5;10000;10000;25;0;500;0;0;0;1;.114701;NA;.044077;5.485204;5.485196;5.600000;7;1
4.12;367;1;0;1;32;523;1;0;5;10000;10000;25;0;500;0;0;0;1;.122364;NA;.049180;5.544300;5.544284;5.660000;7;1
4.14;366;1;0;1;32;523;1;0;5;10000;10000;25;0;500;0;0;0;1;.111477;NA;.044569;5.593020;5.593009;5.700000;7;1
4.28;366;1;0;1;32;523;1;0;5;10000;10000;25;0;500;0;0;0;1;.110808;NA;.042184;5.538379;5.538367;5.650000;9;1
4.30;366;1;0;1;32;523;1;0;5;10000;10000;50;0;500;0;0;0;1;.185632;NA;.044127;11.191681;11.191675;11.380000;7;0
4.02;359;1;0;1;32;523;1;0;5;10000;10000;50;0;500;0;0;0;1;.190906;NA;.047521;11.094254;11.094241;11.290000;7;0
4.14;365;1;0;1;32;523;1;0;5;10000;10000;50;0;500;0;0;0;1;.192659;NA;.040261;11.090030;11.090021;11.280000;9;0
4.24;360;1;0;1;32;523;1;0;5;10000;10000;50;0;500;0;0;0;1;.188998;NA;.042403;10.891400;10.891388;11.080000;7;0
4.33;366;1;0;1;32;523;1;0;5;10000;10000;50;0;500;0;0;0;1;.193551;NA;.043105;10.990377;10.990364;11.180000;7;0
4.27;366;1;0;1;32;523;1;0;5;10000;10000;50;0;500;0;0;0;1;.186883;NA;.041273;11.086486;11.086482;11.270000;8;0
4.22;367;1;0;1;32;523;1;0;5;10000;10000;50;0;500;0;0;0;1;.190114;NA;.046468;10.989897;10.989885;11.180000;7;0
4.08;367;1;0;1;32;523;1;0;5;10000;10000;50;0;500;0;0;0;1;.187754;NA;.043740;11.089789;11.089768;11.280000;9;0
4.13;366;1;0;1;32;523;1;0;5;10000;10000;50;0;500;0;0;0;1;.187989;NA;.046636;11.091990;11.091978;11.280000;7;0
