comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;4;512;507;1;0;5;10000;10000;25;0;1;0;1;0;1;.003228;NA;.000510;.066917;.067394;.070833;5;25
0.02;3;1;0;4;512;507;1;0;5;10000;10000;50;0;1;0;1;0;1;.006421;NA;.000536;.133200;.133961;.140416;5;13
0.02;3;1;0;4;512;507;1;0;5;10000;10000;50;0;1;0;1;0;1;.006744;NA;.000562;.133143;.133908;.140833;5;13
0.02;3;1;0;4;512;507;1;0;5;10000;10000;50;0;1;0;1;0;1;.006633;NA;.000512;.133140;.133938;.140833;5;12
0.02;3;1;0;4;512;507;1;0;5;10000;10000;50;0;1;0;1;0;1;.006548;NA;.000567;.133159;.133993;.140833;5;13
0.02;3;1;0;4;512;507;1;0;5;10000;10000;50;0;1;0;1;0;1;.006202;NA;.000554;.133373;.134115;.140416;5;13
0.02;3;1;0;4;512;507;1;0;5;10000;10000;50;0;1;0;1;0;1;.006408;NA;.000574;.133203;.133928;.140416;5;14
0.02;3;1;0;4;512;507;1;0;5;10000;10000;50;0;1;0;1;0;1;.006516;NA;.000573;.133179;.133929;.140416;5;13
0.02;3;1;0;4;512;507;1;0;5;10000;10000;50;0;1;0;1;0;1;.007076;NA;.000532;.133167;.133967;.141250;5;12
0.02;3;1;0;4;512;507;1;0;5;10000;10000;50;0;1;0;1;0;1;.006335;NA;.000520;.133246;.134003;.140416;5;12
0.02;3;1;0;4;512;507;1;0;5;10000;10000;50;0;1;0;1;0;1;.006470;NA;.000471;.133169;.133956;.140833;5;11
0.02;3;1;0;4;512;507;1;0;5;10000;10000;75;0;1;0;1;0;1;.009596;NA;.000571;.199474;.200573;.210416;5;8
0.02;3;1;0;4;512;507;1;0;5;10000;10000;75;0;1;0;1;0;1;.009453;NA;.000538;.199568;.200666;.210416;5;8
0.02;3;1;0;4;512;507;1;0;5;10000;10000;75;0;1;0;1;0;1;.009582;NA;.000583;.199523;.200640;.210416;5;9
0.02;3;1;0;4;512;507;1;0;5;10000;10000;75;0;1;0;1;0;1;.009669;NA;.000551;.199484;.200590;.210416;6;8
0.02;3;1;0;4;512;507;1;0;5;10000;10000;75;0;1;0;1;0;1;.009450;NA;.000579;.199585;.200763;.210416;5;9
0.02;3;1;0;4;512;507;1;0;5;10000;10000;75;0;1;0;1;0;1;.009741;NA;.000536;.199476;.200612;.210416;5;8
0.02;3;1;0;4;512;507;1;0;5;10000;10000;75;0;1;0;1;0;1;.010268;NA;.000493;.199463;.200593;.210833;5;7
0.02;3;1;0;4;512;507;1;0;5;10000;10000;75;0;1;0;1;0;1;.011892;NA;.000542;.199122;.200617;.212500;5;8
0.02;3;1;0;4;512;507;1;0;5;10000;10000;75;0;1;0;1;0;1;.009937;NA;.000536;.199474;.200577;.210833;5;8
0.02;3;1;0;4;512;507;1;0;5;10000;10000;75;0;1;0;1;0;1;.009542;NA;.000558;.199535;.200629;.210416;5;9
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;0;1;0;1;0;1;.000367;NA;.000081;.000094;.000120;.000416;5;788
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;0;1;0;1;0;1;.000346;NA;.000076;.000119;.000171;.000833;5;730
0.01;3;1;0;4;512;508;1;0;5;10000;10000;0;0;1;0;1;0;1;.000348;NA;.000078;.000150;.000202;.000833;5;715
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;0;1;0;1;0;1;.000269;NA;.000080;.000089;.000140;.000416;5;923
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;0;1;0;1;0;1;.000437;NA;.000116;.000101;.000138;.000833;5;869
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;0;1;0;1;0;1;.000361;NA;.000079;.000094;.000131;.000416;5;857
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;0;1;0;1;0;1;.000566;NA;.000077;.000129;.000316;.000833;5;650
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;0;1;0;1;0;1;.000558;NA;.000087;.000185;.000293;.000833;5;713
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;0;1;0;1;0;1;.000348;NA;.000087;.000096;.000150;.000416;5;877
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;0;1;0;1;0;1;.000603;NA;.000090;.000132;.000216;.000833;5;720
0.02;3;1;0;4;512;508;1;0;5;10000;10000;25;0;1;0;1;0;1;.003265;NA;.000194;.014471;.014957;.018333;5;52
0.02;3;1;0;4;512;508;1;0;5;10000;10000;25;0;1;0;1;0;1;.003454;NA;.000193;.014431;.014838;.018333;5;46
0.02;3;1;0;4;512;508;1;0;5;10000;10000;25;0;1;0;1;0;1;.003368;NA;.000220;.014412;.014811;.018333;5;57
0.02;3;1;0;4;512;508;1;0;5;10000;10000;25;0;1;0;1;0;1;.003305;NA;.000211;.014461;.014865;.018333;5;57
0.02;3;1;0;4;512;508;1;0;5;10000;10000;25;0;1;0;1;0;1;.003202;NA;.000225;.014530;.014967;.018333;5;61
0.02;3;1;0;4;512;508;1;0;5;10000;10000;25;0;1;0;1;0;1;.003248;NA;.000241;.014494;.014958;.018333;5;62
0.02;3;1;0;4;512;508;1;0;5;10000;10000;25;0;1;0;1;0;1;.003341;NA;.000229;.014439;.014825;.018333;5;55
0.02;3;1;0;4;512;508;1;0;5;10000;10000;25;0;1;0;1;0;1;.003540;NA;.000209;.014386;.014809;.018333;5;53
0.02;3;1;0;4;512;508;1;0;5;10000;10000;25;0;1;0;1;0;1;.003356;NA;.000213;.014426;.014834;.018333;5;58
0.02;3;1;0;4;512;508;1;0;5;10000;10000;25;0;1;0;1;0;1;.003268;NA;.000241;.014517;.014980;.018333;7;59
0.02;3;1;0;4;512;508;1;0;5;10000;10000;50;0;1;0;1;0;1;.006358;NA;.000227;.028745;.029503;.035833;5;29
0.02;3;1;0;4;512;508;1;0;5;10000;10000;50;0;1;0;1;0;1;.006454;NA;.000226;.028701;.029468;.035833;5;29
0.02;3;1;0;4;512;508;1;0;5;10000;10000;50;0;1;0;1;0;1;.006471;NA;.000257;.028675;.029453;.036250;5;31
0.02;3;1;0;4;512;508;1;0;5;10000;10000;50;0;1;0;1;0;1;.006468;NA;.000249;.028669;.029427;.035833;5;31
0.02;3;1;0;4;512;508;1;0;5;10000;10000;50;0;1;0;1;0;1;.006545;NA;.000222;.028662;.029422;.036250;5;29
0.02;3;1;0;4;512;508;1;0;5;10000;10000;50;0;1;0;1;0;1;.006368;NA;.000229;.028699;.029434;.035833;5;28
0.02;3;1;0;4;512;508;1;0;5;10000;10000;50;0;1;0;1;0;1;.006621;NA;.000245;.028664;.029423;.036250;5;29
0.02;3;1;0;4;512;508;1;0;5;10000;10000;50;0;1;0;1;0;1;.006487;NA;.000260;.028692;.029459;.036250;8;33
0.02;3;1;0;4;512;508;1;0;5;10000;10000;50;0;1;0;1;0;1;.007020;NA;.000230;.028660;.029427;.036666;5;27
0.02;3;1;0;4;512;508;1;0;5;10000;10000;50;0;1;0;1;0;1;.006368;NA;.000188;.028719;.029493;.035833;5;27
0.02;3;1;0;4;512;508;1;0;5;10000;10000;75;0;1;0;1;0;1;.009570;NA;.000231;.042936;.044002;.053750;5;19
0.02;3;1;0;4;512;508;1;0;5;10000;10000;75;0;1;0;1;0;1;.010043;NA;.000247;.042895;.044012;.054166;5;20
0.02;3;1;0;4;512;508;1;0;5;10000;10000;75;0;1;0;1;0;1;.009594;NA;.000241;.042942;.044062;.053750;5;20
0.02;3;1;0;4;512;508;1;0;5;10000;10000;75;0;1;0;1;0;1;.009592;NA;.000229;.042916;.044002;.053750;5;20
0.02;3;1;0;4;512;508;1;0;5;10000;10000;75;0;1;0;1;0;1;.009706;NA;.000250;.042905;.044029;.053750;5;21
0.02;3;1;0;4;512;508;1;0;5;10000;10000;75;0;1;0;1;0;1;.009617;NA;.000247;.042906;.044018;.053750;5;21
0.02;3;1;0;4;512;508;1;0;5;10000;10000;75;0;1;0;1;0;1;.009716;NA;.000251;.042900;.044002;.053750;5;19
0.02;3;1;0;4;512;508;1;0;5;10000;10000;75;0;1;0;1;0;1;.009587;NA;.000237;.042945;.044136;.053750;5;21
0.02;3;1;0;4;512;508;1;0;5;10000;10000;75;0;1;0;1;0;1;.009709;NA;.000239;.042900;.043999;.053750;5;21
0.02;3;1;0;4;512;508;1;0;5;10000;10000;75;0;1;0;1;0;1;.010035;NA;.000229;.042868;.044006;.054166;5;19
0.02;3;1;0;4;512;509;1;0;5;10000;10000;0;0;1;0;1;0;1;.000380;NA;.000096;.000082;.000121;.000416;5;1000
0.02;3;1;0;4;512;509;1;0;5;10000;10000;0;0;1;0;1;0;1;.000583;NA;.000069;.000126;.000279;.000833;5;673
0.02;3;1;0;4;512;509;1;0;5;10000;10000;0;0;1;0;1;0;1;.000540;NA;.000104;.000189;.000280;.000833;5;781
0.02;3;1;0;4;512;509;1;0;5;10000;10000;0;0;1;0;1;0;1;.000773;NA;.000084;.000123;.000162;.000833;5;506
0.02;3;1;0;4;512;509;1;0;5;10000;10000;0;0;1;0;1;0;1;.000375;NA;.000075;.000100;.000159;.000833;5;815
0.02;3;1;0;4;512;509;1;0;5;10000;10000;0;0;1;0;1;0;1;.001004;NA;.000081;.000163;.000303;.001250;5;475
0.02;3;1;0;4;512;509;1;0;5;10000;10000;0;0;1;0;1;0;1;.000392;NA;.000112;.000114;.000189;.000833;5;945
0.02;3;1;0;4;512;509;1;0;5;10000;10000;0;0;1;0;1;0;1;.000974;NA;.000090;.000106;.000173;.001250;5;500
0.02;3;1;0;4;512;509;1;0;5;10000;10000;0;0;1;0;1;0;1;.000408;NA;.000092;.000143;.000203;.000833;5;772
0.03;3;1;0;4;512;509;1;0;5;10000;10000;0;0;1;0;1;0;1;.000363;NA;.000068;.000078;.000118;.000833;5;805
0.02;3;1;0;4;512;509;1;0;5;10000;10000;25;0;1;0;1;0;1;.003379;NA;.000192;.008158;.008579;.012083;5;86
0.02;3;1;0;4;512;509;1;0;5;10000;10000;25;0;1;0;1;0;1;.003305;NA;.000177;.008176;.008599;.012083;8;77
0.02;3;1;0;4;512;509;1;0;5;10000;10000;25;0;1;0;1;0;1;.003443;NA;.000174;.008151;.008545;.012083;5;71
0.02;3;1;0;4;512;509;1;0;5;10000;10000;25;0;1;0;1;0;1;.003646;NA;.000176;.008113;.008529;.012083;8;77
0.02;3;1;0;4;512;509;1;0;5;10000;10000;25;0;1;0;1;0;1;.003275;NA;.000199;.008173;.008580;.012083;7;82
0.02;3;1;0;4;512;509;1;0;5;10000;10000;25;0;1;0;1;0;1;.003629;NA;.000213;.008149;.008540;.012083;5;80
0.02;3;1;0;4;512;509;1;0;5;10000;10000;25;0;1;0;1;0;1;.003625;NA;.000180;.008152;.008535;.012083;5;77
0.02;3;1;0;4;512;509;1;0;5;10000;10000;25;0;1;0;1;0;1;.003502;NA;.000179;.008117;.008541;.012083;6;72
0.02;3;1;0;4;512;509;1;0;5;10000;10000;25;0;1;0;1;0;1;.003445;NA;.000155;.008117;.008521;.012083;5;69
0.02;3;1;0;4;512;509;1;0;5;10000;10000;25;0;1;0;1;0;1;.003287;NA;.000184;.008198;.008631;.012083;5;83
0.02;3;1;0;4;512;509;1;0;5;10000;10000;50;0;1;0;1;0;1;.006715;NA;.000199;.016119;.016872;.023750;5;42
0.02;3;1;0;4;512;509;1;0;5;10000;10000;50;0;1;0;1;0;1;.006390;NA;.000183;.016199;.016941;.023333;5;40
0.02;3;1;0;4;512;509;1;0;5;10000;10000;50;0;1;0;1;0;1;.006620;NA;.000206;.016126;.016898;.023750;5;45
0.02;3;1;0;4;512;509;1;0;5;10000;10000;50;0;1;0;1;0;1;.006340;NA;.000212;.016214;.016959;.023750;5;41
0.02;3;1;0;4;512;509;1;0;5;10000;10000;50;0;1;0;1;0;1;.006420;NA;.000178;.016152;.016916;.023333;5;39
0.02;3;1;0;4;512;509;1;0;5;10000;10000;50;0;1;0;1;0;1;.006666;NA;.000187;.016101;.016900;.023750;5;40
0.02;3;1;0;4;512;509;1;0;5;10000;10000;50;0;1;0;1;0;1;.006421;NA;.000180;.016203;.016968;.023333;5;38
0.02;3;1;0;4;512;509;1;0;5;10000;10000;50;0;1;0;1;0;1;.006405;NA;.000174;.016195;.016961;.023333;5;40
0.02;3;1;0;4;512;509;1;0;5;10000;10000;50;0;1;0;1;0;1;.006420;NA;.000192;.016165;.016907;.023333;5;40
0.02;3;1;0;4;512;509;1;0;5;10000;10000;50;0;1;0;1;0;1;.006685;NA;.000185;.016100;.016862;.023750;5;42
0.02;3;1;0;4;512;509;1;0;5;10000;10000;75;0;1;0;1;0;1;.009390;NA;.000213;.024309;.025429;.035000;5;31
0.02;3;1;0;4;512;509;1;0;5;10000;10000;75;0;1;0;1;0;1;.009851;NA;.000198;.024122;.025216;.035000;5;29
0.02;3;1;0;4;512;509;1;0;5;10000;10000;75;0;1;0;1;0;1;.009391;NA;.000205;.024296;.025453;.035000;5;29
0.02;3;1;0;4;512;509;1;0;5;10000;10000;75;0;1;0;1;0;1;.009633;NA;.000198;.024134;.025249;.035000;5;30
0.02;3;1;0;4;512;509;1;0;5;10000;10000;75;0;1;0;1;0;1;.009577;NA;.000223;.024130;.025212;.035000;5;30
0.02;3;1;0;4;512;509;1;0;5;10000;10000;75;0;1;0;1;0;1;.009703;NA;.000216;.024121;.025222;.035000;5;30
0.02;3;1;0;4;512;509;1;0;5;10000;10000;75;0;1;0;1;0;1;.009426;NA;.000200;.024269;.025379;.035000;5;30
0.02;3;1;0;4;512;509;1;0;5;10000;10000;75;0;1;0;1;0;1;.009694;NA;.000208;.024115;.025215;.035000;5;29
0.02;3;1;0;4;512;509;1;0;5;10000;10000;75;0;1;0;1;0;1;.009634;NA;.000211;.024127;.025230;.035000;5;29
0.02;3;1;0;4;512;509;1;0;5;10000;10000;75;0;1;0;1;0;1;.009514;NA;.000209;.024193;.025267;.035000;5;30
